2412,15.704,15.704,15.704
2424,15.639,15.639,15.639
2437,15.674,15.674,15.674
2442,15.695,15.695,15.695
2452,15.697,15.697,15.697
2462,15.68,15.68,15.68
2472,15.672,15.672,15.672
2482,15.553,15.553,15.553
5100,15.723,15.723,15.723
5180,15.54,15.54,15.54
5200,15.621,15.621,15.621
5220,15.74,15.74,15.74
5240,15.705,15.705,15.705
5260,15.696,15.696,15.696
5280,15.698,15.698,15.698
5300,15.689,15.689,15.689
5320,15.653,15.653,15.653
5340,15.649,15.649,15.649
5380,15.635,15.635,15.635
5400,15.616,15.616,15.616
5420,15.642,15.642,15.642
5460,15.659,15.659,15.659
5500,15.727,15.727,15.727
5540,15.767,15.767,15.767
5580,15.819,15.819,15.819
5600,15.745,15.745,15.745
5620,15.887,15.887,15.887
5640,15.848,15.848,15.848
5680,15.791,15.791,15.791
5700,15.77,15.77,15.77
5737,15.875,15.875,15.875
5760,15.858,15.858,15.858
5800,15.677,15.677,15.677
