2412,9.704,9.704,9.704,9.704
2424,9.639,9.639,9.639,9.639
2437,9.674,9.674,9.674,9.674
2442,9.695,9.695,9.695,9.695
2452,9.697,9.697,9.697,9.697
2462,9.68,9.68,9.68   ,9.68
2472,9.672,9.672,9.672,9.672
2482,9.553,9.553,9.553,9.553
5100,9.723,9.723,9.723,9.723
5180,9.54,9.54,9.54   ,9.54
5200,9.621,9.621,9.621,9.621
5220,9.74,9.74,9.74   ,9.74
5240,9.705,9.705,9.705,9.705
5260,9.696,9.696,9.696,9.696
5280,9.698,9.698,9.698,9.698
5300,9.689,9.689,9.689,9.689
5320,9.653,9.653,9.653,9.653
5340,9.649,9.649,9.649,9.649
5380,9.635,9.635,9.635,9.635
5400,9.616,9.616,9.616,9.616
5420,9.642,9.642,9.642,9.642
5460,9.659,9.659,9.659,9.659
5500,9.727,9.727,9.727,9.727
5540,9.767,9.767,9.767,9.767
5580,9.819,9.819,9.819,9.819
5600,9.745,9.745,9.745,9.745
5620,9.887,9.887,9.887,9.887
5640,9.848,9.848,9.848,9.848
5680,9.791,9.791,9.791,9.791
5700,9.715,9.715,9.715,9.715
5737,9.875,9.875,9.875,9.875
5760,9.858,9.858,9.858,9.858
5800,9.677,9.677,9.677,9.677
