2412,3.704,3.704,3.704,3.704
2424,3.339,3.339,3.339,3.339
2437,3.374,3.374,3.374,3.374
2442,3.395,3.395,3.395,3.395
2452,3.397,3.397,3.397,3.397
2432,3.38,3.38,3.38,3.38
2472,3.372,3.372,3.372,3.372
2482,3.553,3.553,3.553,3.553
5100,3.723,3.723,3.723,3.723
5180,3.54,3.54,3.54,3.54
5200,3.321,3.321,3.321,3.321
5220,3.74,3.74,3.74,3.74
5240,3.705,3.705,3.705,3.705
5230,3.393,3.393,3.393,3.393
5280,3.398,3.398,3.398,3.398
5300,3.389,3.389,3.389,3.389
5320,3.353,3.353,3.353,3.353
5340,3.349,3.349,3.349,3.349
5380,3.335,3.335,3.335,3.335
5400,3.33,3.33,3.33,3.33
5420,3.342,3.342,3.342,3.342
5430,3.359,3.359,3.359,3.359
5500,3.727,3.727,3.727,3.727
5540,3.737,3.737,3.737,3.737
5580,3.819,3.819,3.819,3.819
5300,3.745,3.745,3.745,3.745
5320,3.887,3.887,3.887,3.887
5340,3.848,3.848,3.848,3.848
5380,3.791,3.791,3.791,3.791
5700,3.73,3.73,3.73,3.73
5720,3.093,3.093,3.093,3.093
5737,3.875,3.875,3.875,3.875
5730,3.858,3.858,3.858,3.858
5800,3.377,3.377,3.377,3.377

